shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S07,41.970361,-91.660105,0,
S07,41.969575,-91.659251,1,
S07,41.96926,-91.659758,2,
S07,41.968875,-91.66032,3,
S07,41.967153,-91.662021,4,
S07,41.967143,-91.662038,5,
S07,41.967032,-91.662198,6,
S07,41.96688,-91.662339,7,
S07,41.966783,-91.662414,8,
S07,41.96667,-91.662489,9,
S07,41.966592,-91.662539,10,
S07,41.966484,-91.662594,11,
S07,41.96633,-91.662659,12,
S07,41.966267,-91.662677,13,
S07,41.966212,-91.662687,14,
S07,41.965904,-91.662732,15,
S07,41.965504,-91.662782,16,
S07,41.964749,-91.662836,17,
S07,41.964534,-91.662423,18,
S07,41.96413,-91.661642,19,
S07,41.963733,-91.660899,20,
S07,41.963345,-91.660152,21,
S07,41.962957,-91.659392,22,
S07,41.962557,-91.65864,23,
S07,41.96199,-91.657548,24,
S07,41.961444,-91.656444,25,
S07,41.961021,-91.655687,26,
S07,41.960187,-91.654185,27,
S07,41.959725,-91.653391,28,
S07,41.959432,-91.652896,29,
S07,41.959376,-91.652814,30,
S07,41.958522,-91.651581,31,
S07,41.957746,-91.650494,32,
S07,41.957502,-91.650177,33,
S07,41.957066,-91.649629,34,
S07,41.956686,-91.649137,35,
S07,41.95661,-91.649043,36,
S07,41.955784,-91.649037,37,
S07,41.955794,-91.649664,38,
S07,41.9558,-91.650959,39,
S07,41.955826,-91.652081,40,
S07,41.955806,-91.652797,41,
S07,41.955835,-91.655657,42,
S07,41.955854,-91.656818,43,
S07,41.955885,-91.657491,44,
S07,41.954067,-91.657522,45,
S07,41.953365,-91.657531,46,
S07,41.95263,-91.657519,47,
S07,41.951826,-91.657521,48,
S07,41.950256,-91.657506,49,
S07,41.950163,-91.657491,50,
S07,41.949965,-91.657468,51,
S07,41.949778,-91.657418,52,
S07,41.949542,-91.657359,53,
S07,41.949323,-91.6573,54,
S07,41.949158,-91.657249,55,
S07,41.949004,-91.657234,56,
S07,41.948796,-91.657219,57,
S07,41.948598,-91.657183,58,
S07,41.947251,-91.657166,59,
S07,41.945016,-91.657063,60,
S07,41.943806,-91.656988,61,
S07,41.943277,-91.656961,62,
S07,41.943033,-91.656947,63,
S07,41.94291,-91.656932,64,
S07,41.942315,-91.656921,65,
S07,41.941765,-91.656977,66,
S07,41.940607,-91.657028,67,
S07,41.940601,-91.657028,68,
S07,41.939712,-91.657026,69,
S07,41.939127,-91.657064,70,
S07,41.938255,-91.657059,71,
S07,41.937875,-91.657031,72,
S07,41.937711,-91.657026,73,
S07,41.935891,-91.656988,74,
S07,41.935574,-91.656947,75,
S07,41.934498,-91.656939,76,
S07,41.934106,-91.65693,77,
S07,41.932834,-91.656897,78,
S07,41.931924,-91.656884,79,
S07,41.929648,-91.65684,80,
S07,41.928468,-91.656812,81,
S07,41.927458,-91.656813,82,
S07,41.927333,-91.656801,83,
S07,41.927036,-91.656771,84,
S07,41.926733,-91.656776,85,
S07,41.929648,-91.65684,86,
S07,41.929589,-91.661108,87,
S07,41.929599,-91.661336,88,
S07,41.929631,-91.661574,89,
S07,41.929678,-91.661777,90,
S07,41.929737,-91.661962,91,
S07,41.929796,-91.662102,92,
S07,41.929841,-91.662195,93,
S07,41.929902,-91.662299,94,
S07,41.92996,-91.662382,95,
S07,41.930164,-91.662679,96,
S07,41.930247,-91.662839,97,
S07,41.930312,-91.662985,98,
S07,41.930384,-91.663198,99,
S07,41.93044,-91.663432,100,
S07,41.930468,-91.663644,101,
S07,41.930481,-91.663866,102,
S07,41.930502,-91.664966,103,
S07,41.930512,-91.666374,104,
S07,41.92824,-91.666433,105,
S07,41.927997,-91.666417,106,
S07,41.927642,-91.666437,107,
S07,41.9271,-91.666467,108,
S07,41.926832,-91.666463,109,
S07,41.926498,-91.666492,110,
S07,41.926417,-91.666494,111,
S07,41.924923,-91.666529,112,
S07,41.924044,-91.666538,113,
S07,41.924041,-91.665174,114,
S07,41.924044,-91.664984,115,
S07,41.924047,-91.664915,116,
S07,41.924054,-91.664839,117,
S07,41.924065,-91.664771,118,
S07,41.924079,-91.664715,119,
S07,41.924362,-91.663854,120,
S07,41.924461,-91.663566,121,
S07,41.924503,-91.663441,122,
S07,41.924569,-91.663213,123,
S07,41.924583,-91.663147,124,
S07,41.924593,-91.663082,125,
S07,41.924599,-91.662369,126,
S07,41.924465,-91.65668,127,
S07,41.926733,-91.656776,128,
S07,41.92639,-91.656753,129,
S07,41.92526,-91.656676,130,
S07,41.924905,-91.656657,131,
S07,41.924465,-91.65668,132,
S07,41.921371,-91.656647,133,
S07,41.919108,-91.656622,134,
S07,41.915795,-91.656621,135,
S07,41.914695,-91.656639,136,
S07,41.910453,-91.656658,137,
S07,41.908655,-91.656596,138,
S07,41.90675,-91.656537,139,
S07,41.905012,-91.656576,140,
S07,41.908607,-91.649966,141,
S07,41.908618,-91.649921,142,
S07,41.908652,-91.649803,143,
S07,41.908682,-91.649715,144,
S07,41.908713,-91.649634,145,
S07,41.90883,-91.649339,146,
S07,41.908894,-91.649195,147,
S07,41.908926,-91.649127,148,
S07,41.908955,-91.649072,149,
S07,41.908991,-91.649014,150,
S07,41.909031,-91.648955,151,
S07,41.909105,-91.648866,152,
S07,41.90917,-91.648796,153,
S07,41.909297,-91.648701,154,
S07,41.909351,-91.648667,155,
S07,41.909443,-91.648624,156,
S07,41.909485,-91.64861,157,
S07,41.909535,-91.648596,158,
S07,41.909568,-91.648591,159,
S07,41.909618,-91.648581,160,
S07,41.909892,-91.648571,161,
S07,41.909996,-91.648568,162,
S07,41.910285,-91.648551,163,
S07,41.910304,-91.648548,164,
S07,41.910412,-91.648508,165,
S07,41.910585,-91.64845,166,
S07,41.910665,-91.648423,167,
S07,41.910775,-91.648411,168,
S07,41.91088,-91.648404,169,
S07,41.911663,-91.648392,170,
S07,41.911697,-91.648397,171,
S07,41.911754,-91.648407,172,
S07,41.911809,-91.648431,173,
S07,41.911866,-91.648465,174,
S07,41.911945,-91.648525,175,
S07,41.912041,-91.648612,176,
S07,41.912108,-91.648692,177,
S07,41.912182,-91.648796,178,
S07,41.912212,-91.648852,179,
S07,41.912231,-91.648896,180,
S07,41.912279,-91.649014,181,
S07,41.912305,-91.649103,182,
S07,41.912325,-91.649186,183,
S07,41.912342,-91.649292,184,
S07,41.91235,-91.649394,185,
S07,41.912348,-91.649456,186,
S07,41.912346,-91.649513,187,
S07,41.912338,-91.649583,188,
S07,41.91232,-91.649724,189,
S07,41.912255,-91.650121,190,
S07,41.912164,-91.650686,191,
S07,41.912085,-91.651171,192,
S07,41.912066,-91.651299,193,
S07,41.91206,-91.651376,194,
S07,41.912063,-91.651452,195,
S07,41.912072,-91.651515,196,
S07,41.912083,-91.651578,197,
S07,41.912095,-91.651621,198,
S07,41.912115,-91.651677,199,
S07,41.912134,-91.651718,200,
S07,41.912236,-91.651871,201,
S07,41.912345,-91.652009,202,
S07,41.912373,-91.652043,203,
S07,41.912421,-91.652097,204,
S07,41.912492,-91.652162,205,
S07,41.912537,-91.652194,206,
S07,41.912563,-91.652209,207,
S07,41.912634,-91.652249,208,
S07,41.912702,-91.652284,209,
S07,41.91276,-91.652309,210,
S07,41.912819,-91.652325,211,
S07,41.912995,-91.652322,212,
S07,41.913268,-91.652316,213,
S07,41.913311,-91.652319,214,
S07,41.913394,-91.652332,215,
S07,41.913861,-91.652422,216,
S07,41.913982,-91.652447,217,
S07,41.914029,-91.65246,218,
S07,41.914103,-91.652488,219,
S07,41.914159,-91.652519,220,
S07,41.914255,-91.65259,221,
S07,41.914314,-91.65265,222,
S07,41.914351,-91.65269,223,
S07,41.914376,-91.652722,224,
S07,41.914443,-91.652826,225,
S07,41.9145,-91.652934,226,
S07,41.91453,-91.653011,227,
S07,41.914552,-91.653084,228,
S07,41.914567,-91.653147,229,
S07,41.914576,-91.653207,230,
S07,41.914581,-91.653252,231,
S07,41.914613,-91.654393,232,
S07,41.914638,-91.655687,233,
S07,41.914695,-91.656639,234,
S07,41.910585,-91.64845,235,
S07,41.910579,-91.648167,236,
S07,41.910571,-91.647758,237,
S07,41.910569,-91.647386,238,
